id,name,kabkota_id,create_uid,create_date,write_uid,write_date
1, Arongan Lambalek,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
2, Bubon,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
3, Johan Pahlawan,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
4, Kaway XVI,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
5, Meureubo,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
6, Pante Ceureumen (Pantai Ceuremen),1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
7, Panton Reu,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
8, Samatiga,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
9, Sungai Mas,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
10, Woyla,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
11, Woyla Barat,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
12, Woyla Timur,1,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
13, Babah Rot,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
14, Blang Pidie,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
15, Jeumpa,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
16, Kuala Batee,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
17, Lembah Sabil,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
18, Manggeng,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
19, Setia,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
20, Susoh,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
21, Tangan-Tangan,2,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
22, Baitussalam,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
23, Blank Bintang,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
24, Darul Imarah,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
25, Darul Kamal,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
26, Darussalam,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
27, Indrapuri,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
28, Ingin Jaya,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
29, Kota Cot Glie (Kuta Cot Glie),3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
30, Kota Jantho,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
31, Kota Malaka (Kuta Malaka),3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
32, Krueng Barona Jaya,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
33, Kuta Baro,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
34, Lembah Seulawah,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
35, Leupung,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
36, Lhoknga (Lho\nga),3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
37, Lhoong,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
38, Mantasiek (Montasik),3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
39, Mesjid Raya,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
40, Peukan Bada,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
41, Pulo Aceh,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
42, Seulimeum,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
43, Simpang Tiga,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
44, Suka Makmur,3,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
45, Darul Hikmah,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
46, Indra Jaya,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
47, Jaya,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
48, Keude Panga,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
49, Krueng Sabee,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
50, Pasie Raya,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
51, Sampoiniet,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
52, Setia Bakti,4,1,2021-03-14 14:01:02,1,2021-03-14 14:01:02
